28-May-2014 22:17:53 - INFO    :: MainThread : Checking to see if the database has all tables....
28-May-2014 22:17:57 - INFO    :: MainThread : Daemonized to PID: 3507
28-May-2014 22:17:57 - DEBUG   :: MainThread : Using the following server values:
MBHost: musicbrainz.org ; MBPort: 80  ;  Sleep Interval: 1 
28-May-2014 22:17:57 - INFO    :: MainThread : Starting Headphones on http://0.0.0.0:8084/
28-May-2014 22:30:11 - DEBUG   :: CP Server Thread-7 : Using the following server values:
MBHost: musicbrainz.org ; MBPort: 80  ;  Sleep Interval: 1 
28-May-2014 22:31:09 - DEBUG   :: CP Server Thread-8 : Using the following server values:
MBHost: musicbrainz.org ; MBPort: 80  ;  Sleep Interval: 1 
28-May-2014 22:31:57 - DEBUG   :: CP Server Thread-9 : Using the following server values:
MBHost: musicbrainz.org ; MBPort: 80  ;  Sleep Interval: 1 
28-May-2014 22:36:56 - INFO    :: MainThread : Signal 15 caught, saving and exiting...
28-May-2014 22:36:56 - INFO    :: MainThread : Headphones is shutting down...
28-May-2014 22:38:06 - INFO    :: MainThread : Checking to see if the database has all tables....
28-May-2014 22:38:06 - INFO    :: MainThread : Daemonized to PID: 3901
28-May-2014 22:38:06 - DEBUG   :: MainThread : Using the following server values:
MBHost: musicbrainz.org ; MBPort: 80  ;  Sleep Interval: 1 
28-May-2014 22:38:06 - INFO    :: MainThread : Starting Headphones on http://0.0.0.0:8084/
28-May-2014 22:38:25 - DEBUG   :: CP Server Thread-10 : Using the following server values:
MBHost: musicbrainz.org ; MBPort: 80  ;  Sleep Interval: 1 
28-May-2014 22:39:17 - DEBUG   :: CP Server Thread-11 : Using the following server values:
MBHost: musicbrainz.org ; MBPort: 80  ;  Sleep Interval: 1 
28-May-2014 22:42:14 - DEBUG   :: CP Server Thread-2 : Using the following server values:
MBHost: musicbrainz.org ; MBPort: 80  ;  Sleep Interval: 1 
28-May-2014 22:43:03 - DEBUG   :: CP Server Thread-3 : Using the following server values:
MBHost: musicbrainz.org ; MBPort: 80  ;  Sleep Interval: 1 
28-May-2014 22:44:06 - DEBUG   :: CP Server Thread-5 : Retrieving artist information from: http://ws.audioscrobbler.com/2.0/?mbid=be3622ad-107e-455e-8686-10f6b6f80139&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:06 - DEBUG   :: CP Server Thread-6 : Retrieving artist information from: http://ws.audioscrobbler.com/2.0/?mbid=692a3600-a6fc-43be-8f76-edddf20e84f3&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:06 - DEBUG   :: CP Server Thread-8 : Retrieving artist information from: http://ws.audioscrobbler.com/2.0/?mbid=6e2119ff-a560-4ffe-9f98-07670080442e&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:06 - DEBUG   :: CP Server Thread-4 : Retrieving artist information from: http://ws.audioscrobbler.com/2.0/?mbid=974312f2-0252-486b-98f7-b66334c01447&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:06 - DEBUG   :: CP Server Thread-9 : Retrieving artist information from: http://ws.audioscrobbler.com/2.0/?mbid=16a43d5e-c52d-4eaa-9c3b-00b2c1d8e816&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:06 - DEBUG   :: CP Server Thread-7 : Retrieving artist information from: http://ws.audioscrobbler.com/2.0/?mbid=1aeb7f8f-de2a-4c28-8cb1-c9232d239e1d&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:07 - DEBUG   :: CP Server Thread-7 : No artist thumbnail image found on url: http://ws.audioscrobbler.com/2.0/?mbid=1aeb7f8f-de2a-4c28-8cb1-c9232d239e1d&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:07 - DEBUG   :: CP Server Thread-6 : No artist thumbnail image found on url: http://ws.audioscrobbler.com/2.0/?mbid=692a3600-a6fc-43be-8f76-edddf20e84f3&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:07 - DEBUG   :: CP Server Thread-8 : No artist thumbnail image found on url: http://ws.audioscrobbler.com/2.0/?mbid=6e2119ff-a560-4ffe-9f98-07670080442e&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:07 - DEBUG   :: CP Server Thread-6 : Retrieving artist information from: http://ws.audioscrobbler.com/2.0/?mbid=3618d303-3c1b-4370-a1a2-8e4c2693edfb&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:07 - DEBUG   :: CP Server Thread-7 : Retrieving artist information from: http://ws.audioscrobbler.com/2.0/?mbid=cb8d5012-d384-4574-a0b4-59a3aedddf52&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:07 - DEBUG   :: CP Server Thread-5 : No artist thumbnail image found on url: http://ws.audioscrobbler.com/2.0/?mbid=be3622ad-107e-455e-8686-10f6b6f80139&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:21 - DEBUG   :: CP Server Thread-9 : Retrieving artist information from: http://ws.audioscrobbler.com/2.0/?mbid=16a43d5e-c52d-4eaa-9c3b-00b2c1d8e816&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:21 - DEBUG   :: CP Server Thread-10 : Retrieving artist information from: http://ws.audioscrobbler.com/2.0/?mbid=16a43d5e-c52d-4eaa-9c3b-00b2c1d8e816&api_key=690e1ed3bc00bc91804cd8f7fe5ed6d4&method=artist.getInfo&format=json
28-May-2014 22:44:22 - INFO    :: Thread-13 : Now adding/updating: Skillet
28-May-2014 22:44:22 - INFO    :: Thread-13 : [Skillet] Now adding: Rare Cuts (New Release Group)
28-May-2014 22:44:23 - INFO    :: Thread-13 : [Skillet] No new releases, so no changes made to Rare Cuts
28-May-2014 22:44:23 - INFO    :: Thread-13 : [Skillet] Now adding: Invincible (New Release Group)
